facility,country_code,country,city,year,pollutant,total_emissions
KEM ONE,FR,France,FOS-SUR-MER,2023,NOX,165000
LYONDELL CHIMIE FRANCE,FR,France,FOS-SUR-MER,2023,NOX,105000
BASELL POLYOLEFINES FRANCE,FR,France,BERRE L'ETANG,2023,NOX,723000
ESSO RAFFINAGE,FR,France,FOS-SUR-MER,2023,NOX,517000
IMERYS ALUMINATES,FR,France,FOS-SUR-MER,2023,NOX,464000
ARCELORMITTAL MEDITERRANEE,FR,France,FOS-SUR-MER,2023,NOX,2970000
EGGER PANNEAUX ET DECORS,FR,France,RION-DES-LANDES,2023,NOX,109000
SERIPANNEAUX,FR,France,SAINT-VINCENT-DE-TYROSSE,2023,NOX,140000
LAFARGE CIMENTS,FR,France,BOUC-BEL-AIR,2023,NOX,552000
PETROINEOS MANUFACTURING FRANCE SAS,FR,France,MARTIGUES,2023,NOX,625000
RAYONIER A.M. TARTAS,FR,France,TARTAS,2023,NOX,417000
TOTALENERGIES RAFFINAGE FRANCE,FR,France,CHATEAUNEUF-LES-MARTIGUES,2023,NOX,133000
ELECTRICITE DE FRANCE,FR,France,MARTIGUES,2023,NOX,372000
SIVOM DU BORN,FR,France,PONTENX-LES-FORGES,2023,NOX,126000
EVERE,FR,France,FOS-SUR-MER,2023,NOX,149000
SNC KERAGLASS,FR,France,BAGNEAUX-SUR-LOING,2023,NOX,126000
SEMARIV,FR,France,VERT-LE-GRAND,2023,NOX,105000
PAPREC FUTURE 9,FR,France,SAINT-OUEN-SUR-SEINE,2023,NOX,113000
CIMENTS CALCIA,FR,France,BEAUCAIRE,2023,NOX,754000
AXENS,FR,France,SALINDRES,2023,NOX,142000
ROQUETTE FRERES,FR,France,BEINHEIM,2023,NOX,114000
CONSTELLIUM NEUF BRISACH,FR,France,BIESHEIM,2023,NOX,119000
LAT NITROGEN OTTMARSHEIM,FR,France,OTTMARSHEIM,2023,NOX,169000
BUTACHIMIE,FR,France,CHALAMPE,2023,NOX,187000
ALSACHIMIE,FR,France,CHALAMPE,2023,NOX,172000
EUROGLAS,FR,France,HOMBOURG,2023,NOX,223000
BLUE PAPER,FR,France,STRASBOURG,2023,NOX,137000
SAFRAN AIRCRAFT ENGINES,FR,France,MOISSY CRAMAYEL,2023,NOX,260000
COMPAGNIE PARISIENNE DE CHAUFFAGE URBAIN,FR,France,SAINT-OUEN-SUR-SEINE,2023,NOX,146000
IVRY PARIS XIII,FR,France,PARIS 13,2023,NOX,226000
SYNDICAT INTERDEPARTEMENTAL POUR L ASSAINISSEMENT DE L AGGLOMERATION PARISIENNE,FR,France,MAISONS-LAFFITTE,2023,NOX,125000
ELECTRICITE DE FRANCE,FR,France,VAIRES-SUR-MARNE,2023,NOX,120000
ELECTRICITE DE FRANCE,FR,France,VERNOU-LA-CELLE-SUR-SEINE,2023,NOX,109000
LAFARGE CIMENTS,FR,France,PORT-LA-NOUVELLE,2023,NOX,570000
HOLCIM HAUT RHIN,FR,France,ALTKIRCH,2023,NOX,400000
VERALLIA FRANCE,FR,France,CUFFIES,2023,NOX,169000
VOA-VERRERIE D'ALBI,FR,France,ALBI,2023,NOX,212000
SOC D'EXPLOITATION THERMIQUE DU MIRAIL,FR,France,TOULOUSE,2023,NOX,241000
TotalEnergies Olefins Antwerp,BE,Belgium,Antwerpen,2023,NOX,511000
INDAVER,BE,Belgium,Antwerpen,2023,NOX,113000
AGC GLASS EUROPE VESTIGING MOL,BE,Belgium,Mol,2023,NOX,157000
AIR LIQUIDE LARGE INDUSTRY,BE,Belgium,Antwerpen,2023,NOX,135000
ELECTRABEL WKK COVESTRO,BE,Belgium,Antwerpen,2023,NOX,103000
INEOS OXIDE UTILITIES,BE,Belgium,Zwijndrecht,2023,NOX,199000
EUROCHEM ANTWERPEN,BE,Belgium,Antwerpen,2023,NOX,126000
EVONIK ANTWERPEN,BE,Belgium,Antwerpen,2023,NOX,408000
EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ,BE,Belgium,Antwerpen,2023,NOX,1380000
Envalior,BE,Belgium,Antwerpen,2023,NOX,228000
ARGEX,BE,Belgium,Zwijndrecht,2023,NOX,143000
Aurubis Olen,BE,Belgium,Olen,2023,NOX,198000
BASF ANTWERPEN,BE,Belgium,Antwerpen,2023,NOX,1230000
TotalEnergies Refinery Antwerp,BE,Belgium,Antwerpen,2023,NOX,2660000
ZANDVLIET POWER - TERREIN BASF,BE,Belgium,Antwerpen,2023,NOX,246000
APERAM GENK,BE,Belgium,Genk,2023,NOX,260000
T POWER,BE,Belgium,Tessenderlo,2023,NOX,158000
ARCELORMITTAL BELGIUM - GENT,BE,Belgium,Gent,2023,NOX,5170000
BOREALIS KALLO,BE,Belgium,Beveren,2023,NOX,360000
Electrabel - Centrale Knippegroen,BE,Belgium,Gent,2023,NOX,325000
ELECTRABEL CENTRALE RODENHUIZE,BE,Belgium,Gent,2023,NOX,173000
VPK Paper,BE,Belgium,Dendermonde,2023,NOX,127000
SLIB EN CO-VERWERKINGS CENTRALE,BE,Belgium,Beveren,2023,NOX,223000
LUMINUS,BE,Belgium,Gent,2023,NOX,133000
STORA ENSO LANGERBRUGGE,BE,Belgium,Gent,2023,NOX,258000
TEREOS STARCH & SWEETENERS BELGIUM,BE,Belgium,Aalst,2023,NOX,139000
ELECTRABEL CENTRALE HERDERSBRUG,BE,Belgium,Brugge,2023,NOX,123000
BIOSTOOM OOSTENDE,BE,Belgium,Oostende,2023,NOX,130000
FLUXYS - LNG TERMINAL,BE,Belgium,Brugge,2023,NOX,117000
IVBO,BE,Belgium,Brugge,2023,NOX,154000
UNILIN BV - SITE BOSPAN,BE,Belgium,Wielsbeke,2023,NOX,181000
A&U ENERGIE,BE,Belgium,Wielsbeke,2023,NOX,112000
ELECTRABEL - CENTRALE DROGENBOS,BE,Belgium,Drogenbos,2023,NOX,102000
INDAVER Site DOEL,BE,Belgium,Beveren,2023,NOX,328000
IMERYS GRAPHITE & CARBON BELGIUM,BE,Belgium,Willebroek,2023,NOX,226000
H.E.S. Hennigsdorfer Elektrostahlwerke GmbH  ,DE,Germany,Hennigsdorf,2023,NOX,159000
SWISS KRONO TEX GmbH & Co. KG ,DE,Germany,Heiligengrabe,2023,NOX,554000
ORAFOL Europe GmbH  ,DE,Germany,Oranienburg,2023,NOX,108000
B.E.S. Brandenburger Elektrostahlwerke GmbH ,DE,Germany,Brandenburg an der Havel,2023,NOX,160000
1Heiz Energie GmbH Binnenhafen Eberswalde ,DE,Germany,Eberswalde,2023,NOX,168000
LEIPA Georg Leinfelder Werk Schwedt Nord ,DE,Germany,Schwedt/Oder,2023,NOX,133000
LEIPA Georg Leinfelder Werk Schwedt Süd ,DE,Germany,Schwedt/Oder,2023,NOX,137000
CEMEX Zement GmbH ,DE,Germany,Rüdersdorf bei Berlin,2023,NOX,683000
IKW Rüdersdorf GmbH ,DE,Germany,Rüdersdorf bei Berlin,2023,NOX,161000
Ardagh Glass GmbH ,DE,Germany,Neuenhagen b. Berlin,2023,NOX,112000
ArcelorMittal Eisenhüttenstadt GmbH  ,DE,Germany,Eisenhüttenstadt,2023,NOX,1346000
